date,year,month,city,latitude,longitude,cedi_price/(KG)
2019-08-15,2019,8,Tema,5.62,-0.02,7.89
2019-09-15,2019,9,Tema,5.62,-0.02,8.41
2019-10-15,2019,10,Tema,5.62,-0.02,8.48
2020-02-15,2020,2,Accra,5.55,-0.22,2.57
2020-02-15,2020,2,Tema,5.62,-0.02,4.17
2020-04-15,2020,4,Accra,5.55,-0.22,3.49
2020-05-15,2020,5,Accra,5.55,-0.22,2.73
2020-05-15,2020,5,Tema,5.62,-0.02,3.12
2020-06-15,2020,6,Accra,5.55,-0.22,3.03
2020-06-15,2020,6,Tema,5.62,-0.02,5.81
2020-07-15,2020,7,Accra,5.55,-0.22,2.57
2020-07-15,2020,7,Tema,5.62,-0.02,4.17
2020-08-15,2020,8,Accra,5.55,-0.22,2.57
2020-08-15,2020,8,Tema,5.62,-0.02,4.17
2020-09-15,2020,9,Accra,5.55,-0.22,2.57
2020-09-15,2020,9,Tema,5.62,-0.02,4.23
2021-01-15,2021,1,Accra,5.55,-0.22,1.53
2021-01-15,2021,1,Tema,5.62,-0.02,1.92
2021-03-15,2021,3,Accra,5.55,-0.22,2.09
2021-03-15,2021,3,Tema,5.62,-0.02,3.41
2021-04-15,2021,4,Accra,5.55,-0.22,3.74
2021-04-15,2021,4,Tema,5.62,-0.02,5.35
2021-05-15,2021,5,Accra,5.55,-0.22,2.84
2021-06-15,2021,6,Accra,5.55,-0.22,5.0
2021-06-15,2021,6,Tema,5.62,-0.02,6.57
2021-07-15,2021,7,Accra,5.55,-0.22,4.43
2021-07-15,2021,7,Tema,5.62,-0.02,8.1
2021-08-15,2021,8,Accra,5.55,-0.22,4.31
2021-08-15,2021,8,Tema,5.62,-0.02,9.45
2021-09-15,2021,9,Accra,5.55,-0.22,5.32
2021-09-15,2021,9,Tema,5.62,-0.02,6.75
2021-10-15,2021,10,Accra,5.55,-0.22,2.61
2021-10-15,2021,10,Tema,5.62,-0.02,5.4
2021-11-15,2021,11,Accra,5.55,-0.22,2.61
2021-11-15,2021,11,Tema,5.62,-0.02,4.82
2021-12-15,2021,12,Accra,5.55,-0.22,2.05
2021-12-15,2021,12,Tema,5.62,-0.02,5.67
2022-01-15,2022,1,Accra,5.55,-0.22,2.11
2022-01-15,2022,1,Tema,5.62,-0.02,6.44
2022-02-15,2022,2,Accra,5.55,-0.22,1.78
2022-02-15,2022,2,Tema,5.62,-0.02,5.73
2022-03-15,2022,3,Accra,5.55,-0.22,2.06
2022-03-15,2022,3,Tema,5.62,-0.02,5.01
2022-04-15,2022,4,Accra,5.55,-0.22,3.46
2022-04-15,2022,4,Tema,5.62,-0.02,5.01
2022-05-15,2022,5,Accra,5.55,-0.22,7.25
2022-05-15,2022,5,Tema,5.62,-0.02,4.96
2022-06-15,2022,6,Accra,5.55,-0.22,7.25
2022-06-15,2022,6,Tema,5.62,-0.02,5.67
2022-07-15,2022,7,Accra,5.55,-0.22,5.36
2022-07-15,2022,7,Tema,5.62,-0.02,7.09
2022-08-15,2022,8,Accra,5.55,-0.22,3.9
2022-08-15,2022,8,Tema,5.62,-0.02,4.29
2022-09-15,2022,9,Accra,5.55,-0.22,3.9
2022-09-15,2022,9,Tema,5.62,-0.02,4.96
2022-10-15,2022,10,Accra,5.55,-0.22,3.12
2022-11-15,2022,11,Accra,5.55,-0.22,3.12
2023-01-15,2023,1,Accra,5.55,-0.22,3.12
2023-01-15,2023,1,Tema,5.62,-0.02,7.8
2023-02-15,2023,2,Accra,5.55,-0.22,5.22
2023-02-15,2023,2,Tema,5.62,-0.02,5.67
2023-03-15,2023,3,Accra,5.55,-0.22,7.23
2023-03-15,2023,3,Tema,5.62,-0.02,5.67
2023-07-15,2023,7,Accra,5.55,-0.22,8.34
2023-07-15,2023,7,Tema,5.62,-0.02,14.17
