date,year,month,day,city,latitude,longitude,cedi_price/(KG)
2019-08-15,2019,8,15,Tamale,9.4,-0.83,0.74
2019-08-15,2019,8,15,Tamale,9.4,-0.83,3.75
2019-09-15,2019,9,15,Tamale,9.4,-0.83,0.74
2019-09-15,2019,9,15,Tamale,9.4,-0.83,3.75
2019-10-15,2019,10,15,Tamale,9.4,-0.83,0.74
2019-10-15,2019,10,15,Tamale,9.4,-0.83,3.75
2019-11-15,2019,11,15,Tamale,9.4,-0.83,0.74
2019-11-15,2019,11,15,Tamale,9.4,-0.83,3.75
2019-12-15,2019,12,15,Tamale,9.4,-0.83,0.74
2019-12-15,2019,12,15,Tamale,9.4,-0.83,3.75
2020-01-15,2020,1,15,Tamale,9.4,-0.83,0.74
2020-01-15,2020,1,15,Tamale,9.4,-0.83,3.75
2020-02-15,2020,2,15,Tamale,9.4,-0.83,8.65
2020-02-15,2020,2,15,Tamale,9.4,-0.83,4.06
2020-02-15,2020,2,15,Yendi,9.45,-0.01,8.55
2020-03-15,2020,3,15,Tamale,9.4,-0.83,0.74
2020-03-15,2020,3,15,Tamale,9.4,-0.83,3.75
2020-04-15,2020,4,15,Tamale,9.4,-0.83,4.3
2020-05-15,2020,5,15,Tamale,9.4,-0.83,8.65
2020-05-15,2020,5,15,Tamale,9.4,-0.83,4.95
2020-05-15,2020,5,15,Yendi,9.45,-0.01,8.48
2020-06-15,2020,6,15,Tamale,9.4,-0.83,6.94
2020-07-15,2020,7,15,Tamale,9.4,-0.83,8.65
2020-07-15,2020,7,15,Tamale,9.4,-0.83,4.06
2020-07-15,2020,7,15,Yendi,9.45,-0.01,8.55
2020-08-15,2020,8,15,Tamale,9.4,-0.83,7.81
2020-08-15,2020,8,15,Tamale,9.4,-0.83,4.06
2020-08-15,2020,8,15,Yendi,9.45,-0.01,10.17
2020-09-15,2020,9,15,Tamale,9.4,-0.83,7.57
2020-09-15,2020,9,15,Tamale,9.4,-0.83,4.06
2020-09-15,2020,9,15,Yendi,9.45,-0.01,10.25
2020-10-15,2020,10,15,Tamale,9.4,-0.83,0.74
2020-10-15,2020,10,15,Tamale,9.4,-0.83,5.77
2020-11-15,2020,11,15,Tamale,9.4,-0.83,0.74
2020-11-15,2020,11,15,Tamale,9.4,-0.83,5.77
2020-12-15,2020,12,15,Tamale,9.4,-0.83,0.74
2020-12-15,2020,12,15,Tamale,9.4,-0.83,5.77
2021-01-15,2021,1,15,Tamale,9.4,-0.83,1.09
2021-01-15,2021,1,15,Tamale,9.4,-0.83,7.01
2021-02-15,2021,2,15,Tamale,9.4,-0.83,2.81
2021-03-15,2021,3,15,Tamale,9.4,-0.83,2.81
2021-04-15,2021,4,15,Tamale,9.4,-0.83,3.19
2021-05-15,2021,5,15,Tamale,9.4,-0.83,2.81
2021-06-15,2021,6,15,Tamale,9.4,-0.83,5.77
2021-07-15,2021,7,15,Tamale,9.4,-0.83,2.81
2021-08-15,2021,8,15,Tamale,9.4,-0.83,2.81
2021-09-15,2021,9,15,Tamale,9.4,-0.83,2.81
2021-10-15,2021,10,15,Tamale,9.4,-0.83,2.81
2021-11-15,2021,11,15,Tamale,9.4,-0.83,2.81
2021-12-15,2021,12,15,Tamale,9.4,-0.83,2.81
2022-01-15,2022,1,15,Tamale,9.4,-0.83,2.81
2022-03-15,2022,3,15,Tamale,9.4,-0.83,2.81
2022-04-15,2022,4,15,Tamale,9.4,-0.83,2.81
2022-05-15,2022,5,15,Tamale,9.4,-0.83,2.81
2022-06-15,2022,6,15,Tamale,9.4,-0.83,0.94
2022-07-15,2022,7,15,Tamale,9.4,-0.83,2.81
2022-08-15,2022,8,15,Tamale,9.4,-0.83,2.81
2022-10-15,2022,10,15,Tamale,9.4,-0.83,3.19
2022-11-15,2022,11,15,Tamale,9.4,-0.83,2.81
2023-01-15,2023,1,15,Tamale,9.4,-0.83,3.12
2023-02-15,2023,2,15,Tamale,9.4,-0.83,2.1
2023-02-15,2023,2,15,Tamale,9.4,-0.83,10.78
2023-03-15,2023,3,15,Tamale,9.4,-0.83,6.56
2023-04-15,2023,4,15,Tamale,9.4,-0.83,1.48
2023-04-15,2023,4,15,Tamale,9.4,-0.83,15.0
2023-05-15,2023,5,15,Tamale,9.4,-0.83,1.48
2023-05-15,2023,5,15,Tamale,9.4,-0.83,15.0
2023-07-15,2023,7,15,Tamale,9.4,-0.83,15.0
