date,year,month,city,latitude,longitude,cedi_price/(KG)
2019-08-15,2019,8,Wa,10.05,-2.48,1.35
2019-09-15,2019,9,Wa,10.05,-2.48,1.35
2019-10-15,2019,10,Wa,10.05,-2.48,1.36
2019-11-15,2019,11,Wa,10.05,-2.48,1.38
2019-12-15,2019,12,Wa,10.05,-2.48,1.22
2020-01-15,2020,1,Wa,10.05,-2.48,1.2
2020-02-15,2020,2,Wa,10.05,-2.48,1.4
2020-03-15,2020,3,Wa,10.05,-2.48,1.2
2020-04-15,2020,4,Wa,10.05,-2.48,1.27
2020-05-15,2020,5,Wa,10.05,-2.48,1.4
2020-07-15,2020,7,Wa,10.05,-2.48,1.4
2020-08-15,2020,8,Wa,10.05,-2.48,1.4
2020-08-15,2020,8,Wa,10.05,-2.48,1.52
2020-09-15,2020,9,Wa,10.05,-2.48,1.38
2020-09-15,2020,9,Wa,10.05,-2.48,1.6
2020-12-15,2020,12,Wa,10.05,-2.48,1.8
2020-12-15,2020,12,Wa,10.05,-2.48,2.0
2021-01-15,2021,1,Wa,10.05,-2.48,1.8
2021-01-15,2021,1,Wa,10.05,-2.48,2.0
2021-02-15,2021,2,Wa,10.05,-2.48,2.2
2021-03-15,2021,3,Wa,10.05,-2.48,1.8
2021-03-15,2021,3,Wa,10.05,-2.48,2.0
2021-04-15,2021,4,Wa,10.05,-2.48,2.0
2021-04-15,2021,4,Wa,10.05,-2.48,2.2
2021-05-15,2021,5,Wa,10.05,-2.48,2.0
2021-05-15,2021,5,Wa,10.05,-2.48,2.4
2021-06-15,2021,6,Wa,10.05,-2.48,2.4
2021-06-15,2021,6,Wa,10.05,-2.48,3.64
2021-07-15,2021,7,Wa,10.05,-2.48,2.4
2021-07-15,2021,7,Wa,10.05,-2.48,3.2
2021-08-15,2021,8,Wa,10.05,-2.48,3.2
2021-08-15,2021,8,Wa,10.05,-2.48,3.6
2021-09-15,2021,9,Wa,10.05,-2.48,3.2
2021-09-15,2021,9,Wa,10.05,-2.48,3.6
2021-10-15,2021,10,Wa,10.05,-2.48,3.08
2021-10-15,2021,10,Wa,10.05,-2.48,3.6
2021-11-15,2021,11,Wa,10.05,-2.48,2.69
2021-11-15,2021,11,Wa,10.05,-2.48,3.23
2021-12-15,2021,12,Wa,10.05,-2.48,2.69
2021-12-15,2021,12,Wa,10.05,-2.48,3.16
2022-01-15,2022,1,Wa,10.05,-2.48,2.69
2022-01-15,2022,1,Wa,10.05,-2.48,3.87
2022-02-15,2022,2,Wa,10.05,-2.48,2.81
2022-02-15,2022,2,Wa,10.05,-2.48,2.81
2022-03-15,2022,3,Wa,10.05,-2.48,3.65
2022-03-15,2022,3,Wa,10.05,-2.48,3.67
2022-04-15,2022,4,Wa,10.05,-2.48,3.69
2022-04-15,2022,4,Wa,10.05,-2.48,3.8
2022-05-15,2022,5,Wa,10.05,-2.48,3.49
2022-05-15,2022,5,Wa,10.05,-2.48,4.0
2022-06-15,2022,6,Wa,10.05,-2.48,3.49
2022-06-15,2022,6,Wa,10.05,-2.48,4.0
2022-07-15,2022,7,Wa,10.05,-2.48,3.49
2022-07-15,2022,7,Wa,10.05,-2.48,3.6
2022-09-15,2022,9,Wa,10.05,-2.48,3.72
2022-09-15,2022,9,Wa,10.05,-2.48,4.48
2022-10-15,2022,10,Wa,10.05,-2.48,3.95
2022-10-15,2022,10,Wa,10.05,-2.48,4.48
2023-01-15,2023,1,Wa,10.05,-2.48,4.48
2023-01-15,2023,1,Wa,10.05,-2.48,5.19
2023-02-15,2023,2,Wa,10.05,-2.48,5.38
2023-02-15,2023,2,Wa,10.05,-2.48,5.5
2023-03-15,2023,3,Wa,10.05,-2.48,5.23
2023-03-15,2023,3,Wa,10.05,-2.48,5.56
2023-04-15,2023,4,Wa,10.05,-2.48,5.23
2023-04-15,2023,4,Wa,10.05,-2.48,5.6
2023-05-15,2023,5,Wa,10.05,-2.48,5.68
2023-05-15,2023,5,Wa,10.05,-2.48,5.82
2023-06-15,2023,6,Wa,10.05,-2.48,5.52
2023-06-15,2023,6,Wa,10.05,-2.48,5.68
2023-07-15,2023,7,Wa,10.05,-2.48,5.68
2023-07-15,2023,7,Wa,10.05,-2.48,5.73
