date,year,month,city,latitude,longitude,cedi_price/(KG)
2019-08-15,2019,8,Wa,10.05,-2.48,2.26
2019-09-15,2019,9,Wa,10.05,-2.48,2.26
2019-12-15,2019,12,Wa,10.05,-2.48,0.77
2020-01-15,2020,1,Wa,10.05,-2.48,0.38
2020-02-15,2020,2,Wa,10.05,-2.48,18.67
2020-03-15,2020,3,Wa,10.05,-2.48,0.38
2020-04-15,2020,4,Wa,10.05,-2.48,2.07
2020-05-15,2020,5,Wa,10.05,-2.48,3.56
2020-07-15,2020,7,Wa,10.05,-2.48,18.67
2020-08-15,2020,8,Wa,10.05,-2.48,14.78
2020-09-15,2020,9,Wa,10.05,-2.48,16.44
2021-02-15,2021,2,Wa,10.05,-2.48,2.0
2021-03-15,2021,3,Wa,10.05,-2.48,3.0
2021-04-15,2021,4,Wa,10.05,-2.48,3.89
2021-05-15,2021,5,Wa,10.05,-2.48,3.28
2021-06-15,2021,6,Wa,10.05,-2.48,2.4
2021-07-15,2021,7,Wa,10.05,-2.48,3.78
2021-09-15,2021,9,Wa,10.05,-2.48,7.78
2021-12-15,2021,12,Wa,10.05,-2.48,3.85
2022-01-15,2022,1,Wa,10.05,-2.48,3.47
2022-03-15,2022,3,Wa,10.05,-2.48,5.11
2022-04-15,2022,4,Wa,10.05,-2.48,5.11
2022-05-15,2022,5,Wa,10.05,-2.48,5.11
2022-06-15,2022,6,Wa,10.05,-2.48,5.11
2022-07-15,2022,7,Wa,10.05,-2.48,5.11
2022-09-15,2022,9,Wa,10.05,-2.48,0.95
2022-10-15,2022,10,Wa,10.05,-2.48,4.41
2023-01-15,2023,1,Wa,10.05,-2.48,6.08
2023-02-15,2023,2,Wa,10.05,-2.48,3.16
2023-02-15,2023,2,Wa,10.05,-2.48,6.08
2023-03-15,2023,3,Wa,10.05,-2.48,7.27
2023-04-15,2023,4,Wa,10.05,-2.48,2.64
2023-05-15,2023,5,Wa,10.05,-2.48,2.64
2023-06-15,2023,6,Wa,10.05,-2.48,2.64
