date,year,month,city,latitude,longitude,cedi_price/(KG)
2019-08-15,2019,8,Wa,10.05,-2.48,2.98
2019-09-15,2019,9,Wa,10.05,-2.48,2.89
2019-10-15,2019,10,Wa,10.05,-2.48,2.94
2019-11-15,2019,11,Wa,10.05,-2.48,3.53
2019-12-15,2019,12,Wa,10.05,-2.48,3.53
2020-01-15,2020,1,Wa,10.05,-2.48,2.92
2020-02-15,2020,2,Wa,10.05,-2.48,3.83
2020-03-15,2020,3,Wa,10.05,-2.48,3.14
2020-05-15,2020,5,Wa,10.05,-2.48,12.92
2020-07-15,2020,7,Wa,10.05,-2.48,3.83
2020-12-15,2020,12,Wa,10.05,-2.48,69.04
2021-01-15,2021,1,Wa,10.05,-2.48,23.06
2021-06-15,2021,6,Wa,10.05,-2.48,6.86
2022-03-15,2022,3,Wa,10.05,-2.48,7.5
2022-04-15,2022,4,Wa,10.05,-2.48,7.5
2022-07-15,2022,7,Wa,10.05,-2.48,7.5
2022-10-15,2022,10,Wa,10.05,-2.48,0.87
2022-10-15,2022,10,Wa,10.05,-2.48,7.5
2023-02-15,2023,2,Wa,10.05,-2.48,1.6
2023-04-15,2023,4,Wa,10.05,-2.48,1.6
2023-05-15,2023,5,Wa,10.05,-2.48,1.6
2023-06-15,2023,6,Wa,10.05,-2.48,8.33
