date,year,month,day,city,latitude,longitude,cedi_price/(KG)
2019-08-15,2019,8,15,Cape Coast,5.11,-1.24,0.75
2019-08-15,2019,8,15,Cape Coast,5.11,-1.24,5.0
2019-08-15,2019,8,15,Mankessim,5.27,-1.02,5.79
2019-09-15,2019,9,15,Cape Coast,5.11,-1.24,0.75
2019-09-15,2019,9,15,Cape Coast,5.11,-1.24,5.0
2019-09-15,2019,9,15,Mankessim,5.27,-1.02,4.36
2019-10-15,2019,10,15,Cape Coast,5.11,-1.24,0.75
2019-10-15,2019,10,15,Cape Coast,5.11,-1.24,5.0
2019-10-15,2019,10,15,Mankessim,5.27,-1.02,4.04
2019-11-15,2019,11,15,Cape Coast,5.11,-1.24,0.75
2019-11-15,2019,11,15,Cape Coast,5.11,-1.24,5.0
2019-11-15,2019,11,15,Mankessim,5.27,-1.02,4.04
2019-12-15,2019,12,15,Cape Coast,5.11,-1.24,0.75
2019-12-15,2019,12,15,Cape Coast,5.11,-1.24,5.0
2019-12-15,2019,12,15,Mankessim,5.27,-1.02,4.0
2020-01-15,2020,1,15,Cape Coast,5.11,-1.24,0.77
2020-01-15,2020,1,15,Cape Coast,5.11,-1.24,5.0
2020-01-15,2020,1,15,Mankessim,5.27,-1.02,3.85
2020-02-15,2020,2,15,Mankessim,5.27,-1.02,5.52
2020-03-15,2020,3,15,Cape Coast,5.11,-1.24,0.77
2020-03-15,2020,3,15,Cape Coast,5.11,-1.24,5.5
2020-04-15,2020,4,15,Cape Coast,5.11,-1.24,4.96
2020-04-15,2020,4,15,Mankessim,5.27,-1.02,5.44
2020-05-15,2020,5,15,Cape Coast,5.11,-1.24,4.93
2020-05-15,2020,5,15,Mankessim,5.27,-1.02,5.51
2020-07-15,2020,7,15,Mankessim,5.27,-1.02,5.52
2020-08-15,2020,8,15,Mankessim,5.27,-1.02,4.6
2020-09-15,2020,9,15,Cape Coast,5.11,-1.24,3.08
2020-09-15,2020,9,15,Cape Coast,5.11,-1.24,3.29
2020-09-15,2020,9,15,Mankessim,5.27,-1.02,3.27
