date,year,month,city,latitude,longitude,cedi_price/(KG)
2019-08-15,2019,8,Bolga,10.79,-0.85,1.27
2019-09-15,2019,9,Bolga,10.79,-0.85,1.27
2019-10-15,2019,10,Bolga,10.79,-0.85,1.27
2019-10-15,2019,10,Garu,10.85,-0.18,1.7
2019-11-15,2019,11,Bolga,10.79,-0.85,1.27
2019-12-15,2019,12,Bolga,10.79,-0.85,0.8
2020-01-15,2020,1,Bolga,10.79,-0.85,0.73
2020-02-15,2020,2,Bolga,10.79,-0.85,0.75
2020-02-15,2020,2,Bolga,10.79,-0.85,3.25
2020-02-15,2020,2,Garu,10.85,-0.18,3.0
2020-04-15,2020,4,Bolga,10.79,-0.85,3.49
2020-04-15,2020,4,Bolga,10.79,-0.85,3.66
2020-05-15,2020,5,Bolga,10.79,-0.85,1.53
2020-05-15,2020,5,Bolga,10.79,-0.85,2.99
2020-05-15,2020,5,Garu,10.85,-0.18,1.63
2020-05-15,2020,5,Garu,10.85,-0.18,2.5
2020-06-15,2020,6,Bolga,10.79,-0.85,0.92
2020-07-15,2020,7,Bolga,10.79,-0.85,0.75
2020-07-15,2020,7,Bolga,10.79,-0.85,3.25
2020-07-15,2020,7,Garu,10.85,-0.18,3.0
2020-08-15,2020,8,Bolga,10.79,-0.85,1.9
2020-08-15,2020,8,Bolga,10.79,-0.85,3.25
2020-08-15,2020,8,Garu,10.85,-0.18,6.88
2020-09-15,2020,9,Bolga,10.79,-0.85,1.74
2020-09-15,2020,9,Bolga,10.79,-0.85,4.0
2020-10-15,2020,10,Garu,10.85,-0.18,7.37
2020-11-15,2020,11,Bolga,10.79,-0.85,0.66
2020-11-15,2020,11,Bolga,10.79,-0.85,6.32
2020-11-15,2020,11,Garu,10.85,-0.18,7.37
2020-12-15,2020,12,Bolga,10.79,-0.85,0.73
2020-12-15,2020,12,Bolga,10.79,-0.85,6.32
2021-01-15,2021,1,Bolga,10.79,-0.85,0.73
2021-01-15,2021,1,Bolga,10.79,-0.85,6.32
2021-02-15,2021,2,Bolga,10.79,-0.85,5.9
2021-02-15,2021,2,Bolga,10.79,-0.85,3.14
2021-02-15,2021,2,Garu,10.85,-0.18,11.89
2021-02-15,2021,2,Garu,10.85,-0.18,8.69
2021-03-15,2021,3,Bolga,10.79,-0.85,3.14
2021-03-15,2021,3,Garu,10.85,-0.18,6.67
2021-07-15,2021,7,Bolga,10.79,-0.85,3.14
2021-08-15,2021,8,Garu,10.85,-0.18,3.58
2021-09-15,2021,9,Bolga,10.79,-0.85,3.14
2021-10-15,2021,10,Bolga,10.79,-0.85,3.14
2021-10-15,2021,10,Garu,10.85,-0.18,3.58
2021-11-15,2021,11,Bolga,10.79,-0.85,3.14
2021-11-15,2021,11,Garu,10.85,-0.18,3.5
2021-12-15,2021,12,Bolga,10.79,-0.85,3.14
2021-12-15,2021,12,Garu,10.85,-0.18,3.5
2022-01-15,2022,1,Bolga,10.79,-0.85,3.14
2022-01-15,2022,1,Garu,10.85,-0.18,3.5
2022-03-15,2022,3,Garu,10.85,-0.18,3.5
2022-04-15,2022,4,Bolga,10.79,-0.85,3.14
2022-04-15,2022,4,Garu,10.85,-0.18,3.5
2022-05-15,2022,5,Bolga,10.79,-0.85,3.14
2022-06-15,2022,6,Garu,10.85,-0.18,3.5
2022-07-15,2022,7,Bolga,10.79,-0.85,3.14
2022-08-15,2022,8,Bolga,10.79,-0.85,6.82
2022-08-15,2022,8,Garu,10.85,-0.18,3.5
2022-10-15,2022,10,Garu,10.85,-0.18,6.98
2022-11-15,2022,11,Bolga,10.79,-0.85,3.14
2022-11-15,2022,11,Garu,10.85,-0.18,6.08
2022-12-15,2022,12,Bolga,10.79,-0.85,3.14
2023-01-15,2023,1,Bolga,10.79,-0.85,3.14
2023-01-15,2023,1,Garu,10.85,-0.18,2.39
2023-02-15,2023,2,Bolga,10.79,-0.85,0.64
2023-02-15,2023,2,Bolga,10.79,-0.85,5.71
2023-02-15,2023,2,Garu,10.85,-0.18,2.39
2023-03-15,2023,3,Bolga,10.79,-0.85,3.14
2023-03-15,2023,3,Garu,10.85,-0.18,2.44
2023-04-15,2023,4,Bolga,10.79,-0.85,0.64
2023-04-15,2023,4,Bolga,10.79,-0.85,8.29
2023-05-15,2023,5,Bolga,10.79,-0.85,0.64
2023-05-15,2023,5,Bolga,10.79,-0.85,8.29
2023-06-15,2023,6,Bolga,10.79,-0.85,0.64
2023-06-15,2023,6,Bolga,10.79,-0.85,8.29
2023-07-15,2023,7,Bolga,10.79,-0.85,8.29
