name,surname_name,crop,phone,region
Uriel,Michael,Rice (paddy),233518463534,Greater Acccra
Thomas,Huber,Peppers (dried),233542737203,Western
Keane,Yates,Millet,233511416615,Upper East
Rachel,Nichols,Cowpeas (white),+233261778569,Ashanti
Donna,Vance,Eggplants,233519874888,Upper East
Cain,Ashley,Cowpeas (white),233511407841,Upper East
Amery,Powers,Onions,+233252173608,Western
Aidan,Wiley,Yam,+233225691523,Brong Ahafo
Vera,Campbell,Sorghum,233552558216,Brong Ahafo
Tyler,Bentley,Rice (local),+233265188718,Ashanti
Emmanuel,Nelson,Soybeans,+233265181411,Northern
Zorita,Phelps,Cowpeas (white),+233273176427,Northern
Kyra,Washington,Maize,233566170647,Eastern
Paula,Stephenson,Yam (puna),233533898247,Northern
Clinton,Herman,Eggplants,+233212008250,Eastern
Chaim,Watts,Cowpeas,233588351434,Volta
Walter,Mosley,Tomatoes (navrongo),+233245056699,Upper East
Reed,Golden,Cowpeas (white),233516688336,Eastern
Barrett,Anderson,Rice (local),233574745648,Volta
Emery,Stewart,Cassava,233579517607,Volta
Roth,Hodges,Maize(yellow),+233239741828,Upper West
Nehru,Sloan,Maize,+233263290528,Eastern
Aretha,Tyson,Cowpeas,233544872374,Volta
Malcolm,Phelps,Onions,+233247144627,Central
Athena,Parks,Rice (paddy),233583274822,Greater Acccra
Hayden,Newton,Rice (paddy),+233279844638,Eastern
Shellie,Witt,Cowpeas (white),+233246181446,Western
Cooper,Dickson,Millet,233551404528,Upper West
Quinn,Matthews,Onions,+233266731812,Central
Demetria,Goodwin,Cassava,233590130242,Ashanti
Leilani,Buchanan,Maize(yellow),233545538626,Central
Marvin,Singleton,Peppers (fresh),+233293674187,Brong Ahafo
Xaviera,Franco,Tomatoes (navrongo),233532672605,Ashanti
Armando,Skinner,Rice (local),233500085678,Brong Ahafo
Caleb,Chaney,Yam,233536383179,Central
Eaton,Hodges,Maize,233575113558,Eastern
Lucas,Larsen,Yam (puna),+233263623767,Upper East
Driscoll,Walsh,Rice (local),+233261224761,Western
Daryl,Ray,Tomatoes (navrongo),+233264421999,Western
Rowan,Nieves,Peppers (dried),233526131176,Eastern
Basia,Bryant,Sorghum,+233270086008,Greater Acccra
Dominique,Roach,Tomatoes (local),+233212742244,Northern
Judah,Montoya,Cowpeas (white),233571421116,Western
Cedric,Pittman,Yam,+233246416352,Western
Deacon,Cummings,Maize(yellow),+233258626472,Upper East
Rama,Hobbs,Eggplants,+233234928807,Northern
Madeson,Cruz,Rice (local),233534066126,Western
Beverly,Mckee,Rice (paddy),233583554787,Ashanti
Brielle,Hancock,Peppers (fresh),+233281826528,Volta
Baker,Foreman,Soybeans,233536533958,Ashanti
Yasir,Bryant,Cowpeas,233557988318,Ashanti
Samantha,Hull,Yam,233522862461,Ashanti
Rebekah,Lambert,Yam (puna),+233234237252,Ashanti
Sonya,Whitfield,Tomatoes (local),233571464426,Western
Maya,Allison,Sorghum,233586248577,Upper West
Emery,Leblanc,Onions,+233227441282,Upper West
Bradley,Ingram,Tomatoes (local),233519751344,Upper East
Grady,Schwartz,Cowpeas,+233214233783,Upper West
Noah,Gaines,Soybeans,233567686345,Brong Ahafo
Brody,Sweet,Cowpeas (white),233532165787,Brong Ahafo
Kelsie,Hurley,Yam,233558613637,Greater Acccra
Megan,Haley,Cassava,+233237662729,Greater Acccra
Ahmed,Kaufman,Peppers (fresh),+233264920320,Upper West
Thaddeus,Little,Eggplants,233590545617,Brong Ahafo
Buffy,Buchanan,Yam (puna),233591555891,Northern
Ferris,Kane,Millet,233532547945,Upper West
Lara,Gaines,Yam,233515863011,Upper East
Elijah,Noble,Maize(yellow),233578635485,Brong Ahafo
Wade,Armstrong,Yam (puna),233508378778,Brong Ahafo
Wayne,Lindsay,Cassava,+233236676177,Greater Acccra
Eaton,Ayala,Tomatoes (navrongo),+233236435942,Ashanti
Bertha,Ortiz,Millet,+233244571648,Upper East
Micah,Hyde,Tomatoes (local),233561867535,Brong Ahafo
Cyrus,Petty,Maize(yellow),233595016326,Brong Ahafo
Leigh,Goodwin,Cowpeas (white),+233273645436,Volta
Amos,Boone,Sorghum,233595567169,Upper East
Irma,Porter,Rice (local),233563842754,Eastern
Drew,Emerson,Peppers (fresh),233568377821,Greater Acccra
Walker,Vang,Peppers (dried),233504668437,Western
Kamal,Gill,Onions,+233253407158,Western
Camden,Sweeney,Eggplants,+233212449354,Brong Ahafo
Britanni,Waller,Maize,+233244170636,Ashanti
Abdul,Wagner,Tomatoes (local),233548702367,Upper West
Thaddeus,Morris,Maize(yellow),233548958265,Upper East
Wynter,Levy,Maize(yellow),233572447815,Brong Ahafo
Griffith,Morin,Peppers (dried),+233271382178,Volta
Brian,Blair,Rice (paddy),233559283784,Greater Acccra
Ashton,Baker,Maize(yellow),233519692267,Upper East
Hadley,George,Yam (puna),+233295403878,Upper East
Hashim,Singleton,Millet,233588587649,Northern
Hanae,Cole,Yam (puna),233508372395,Brong Ahafo
Timothy,Hawkins,Rice (paddy),233587272458,Ashanti
Sybill,Ramsey,Tomatoes (local),233504631022,Upper West
Byron,Long,Maize,233561132731,Brong Ahafo
Zena,O'brien,Tomatoes (navrongo),+233204529137,Ashanti
April,Brock,Millet,233526468751,Greater Acccra
Azalia,Kirkland,Eggplants,233506686209,Upper East
Zelda,Burgess,Cowpeas,+233239774383,Greater Acccra
Idona,Wheeler,Tomatoes (navrongo),233532124735,Western
Hammett,Potts,Rice (local),233583120486,Northern
Chase,Hensley,Peppers (fresh),233516125297,Volta
Tanya,Hale,Peppers (dried),+233242512727,Upper East
Juliet,Kennedy,Yam,233583540980,Eastern
Rae,Beard,Cowpeas,+233288286685,Upper West
Maia,Alvarez,Maize,+233235376888,Ashanti
Paula,Sharp,Cassava,+233285789513,Volta
Plato,Taylor,Maize(yellow),+233256337426,Greater Acccra
Amal,Patrick,Yam (puna),233553748641,Central
Bree,Newman,Maize(yellow),233534157741,Upper East
Trevor,Mcgowan,Yam,+233263224748,Upper West
Colleen,Blair,Tomatoes (navrongo),233539047211,Eastern
Samson,Garner,Peppers (dried),+233267494276,Upper East
Kitra,Carney,Rice (paddy),+233261056184,Upper East
Ryan,Long,Soybeans,+233254114082,Northern
Gregory,Flores,Rice (local),233519712223,Eastern
Ian,Diaz,Cowpeas (white),233574548703,Upper East
Joel,Gilbert,Rice (paddy),+233256763245,Greater Acccra
Jeremy,Richardson,Cowpeas (white),233571475076,Eastern
Jerry,Leblanc,Rice (local),+233254353648,Ashanti
Yeo,Rocha,Maize,233562224335,Ashanti
Basil,Shields,Yam (puna),233551842665,Eastern
Derek,Simmons,Cassava,+233242338804,Volta
Gavin,Christian,Peppers (fresh),233584658161,Upper East
Ian,Hammond,Rice (local),+233203837655,Upper East
Reagan,Clements,Cowpeas,233518477622,Central
Coby,Huffman,Onions,+233212683454,Eastern
Slade,Porter,Eggplants,+233232554551,Western
Orli,Horne,Peppers (dried),233570557417,Western
Jermaine,Rocha,Peppers (dried),233523822528,Upper West
Elvis,Simpson,Cowpeas (white),233585544558,Upper East
Bo,Walls,Onions,+233237216710,Brong Ahafo
Dexter,Durham,Onions,+233211358794,Brong Ahafo
Pearl,Carver,Peppers (fresh),233542116521,Upper East
Emmanuel,Michael,Yam (puna),233568849525,Central
Victor,Evans,Maize(yellow),+233236582677,Greater Acccra
Ivan,Gates,Eggplants,+233215087361,Eastern
Riley,Myers,Onions,233576334315,Upper East
Austin,Fulton,Tomatoes (local),+233268333292,Northern
Olympia,Sweeney,Eggplants,+233270281457,Brong Ahafo
Hu,Calderon,Peppers (dried),+233291574433,Brong Ahafo
Azalia,Cooley,Peppers (dried),233524480842,Upper East
Larissa,Castro,Peppers (dried),233558460146,Brong Ahafo
Fiona,Walsh,Peppers (fresh),+233268057376,Eastern
Yoko,Wilson,Maize(yellow),233567685757,Western
Colin,Carson,Cowpeas (white),+233202365710,Western
Iliana,Blanchard,Yam,+233255307672,Central
Jayme,Clemons,Peppers (dried),233544698278,Ashanti
Holly,Malone,Peppers (fresh),+233290614208,Eastern
Alan,Atkins,Cowpeas (white),+233240798593,Central
Lana,Crawford,Cowpeas (white),233581561865,Western
Anne,Sandoval,Soybeans,233553188832,Greater Acccra
Nita,Mccarty,Onions,+233215431523,Upper West
Driscoll,Parrish,Yam,+233214932251,Greater Acccra
Vance,Cooley,Yam,233539244344,Western
Beck,Moses,Soybeans,233544380206,Upper West
Joel,Duncan,Onions,233538347401,Upper West
Winifred,Mercado,Tomatoes (local),+233296188208,Upper East
Raphael,Dalton,Onions,+233294160468,Greater Acccra
Freya,Dawson,Maize(yellow),233518303711,Volta
Orla,Glass,Tomatoes (local),233531646472,Greater Acccra
Inga,Ward,Yam,233570624821,Eastern
Orla,Fuentes,Cowpeas,+233258423283,Greater Acccra
Christine,Hansen,Maize,233584973345,Brong Ahafo
Nicole,Carney,Soybeans,+233238382521,Eastern
Rudyard,Blackburn,Tomatoes (navrongo),+233232114876,Western
Kyra,Riley,Tomatoes (navrongo),233539586863,Central
Cade,Horn,Cowpeas,+233295287215,Central
Stuart,Tucker,Maize(yellow),+233218627604,Volta
Evan,Bonner,Yam,+233268331876,Central
Odette,Curry,Maize(yellow),+233236823600,Ashanti
Yvonne,Macdonald,Cassava,+233222623132,Western
Baker,Cunningham,Sorghum,+233219602546,Northern
Yael,Gregory,Yam,+233253246111,Brong Ahafo
Sydney,Waller,Peppers (dried),233540425827,Volta
Dennis,Ball,Yam,+233294567651,Northern
Roary,Harris,Yam,233522476272,Upper East
Hayley,Wilkerson,Cassava,+233295858665,Central
Joel,Walls,Soybeans,233578551521,Greater Acccra
Skyler,Vang,Peppers (dried),+233247537755,Upper East
Karina,Moss,Sorghum,+233282531393,Central
Zane,Wynn,Onions,+233268175475,Brong Ahafo
Amelia,Wells,Yam,+233238680272,Eastern
Willa,Davidson,Tomatoes (local),233512213830,Brong Ahafo
Alfonso,Elliott,Tomatoes (local),233506517363,Upper East
Wade,Bryant,Cassava,233566224546,Western
Sonya,Kennedy,Millet,233558224502,Upper East
Kennedy,Small,Rice (paddy),233574921991,Greater Acccra
Shana,Gonzales,Maize,233521871883,Greater Acccra
Rowan,Lyons,Sorghum,+233299260671,Brong Ahafo
Madeson,Silva,Sorghum,233552885639,Brong Ahafo
Yardley,Compton,Peppers (dried),233584785727,Central
Solomon,Gallagher,Eggplants,233558865867,Greater Acccra
Sarah,Hawkins,Maize,233535441363,Northern
Alec,Howell,Onions,233521873244,Ashanti
Alden,Chang,Yam (puna),+233287035738,Upper West
Sasha,Joyner,Rice (local),233525542741,Northern
Jerome,Armstrong,Maize(yellow),+233271421693,Central
Camille,Elliott,Cowpeas (white),233544813834,Ashanti
Macon,Mayer,Maize,+233235812447,Volta
Berk,Casey,Soybeans,+233233381731,Western
Hasad,Landry,Rice (local),233598125746,Brong Ahafo
Todd,Mcleod,Tomatoes (local),+233237299896,Western
Ava,Ferguson,Cowpeas,+233282219719,Upper East
Keaton,Nolan,Onions,233549029904,Ashanti
Zelenia,Marshall,Maize(yellow),+233250151372,Central
Arthur,Wyatt,Eggplants,+233248621697,Eastern
Zephr,Kirkland,Soybeans,233532222358,Northern
Phoebe,Hester,Cowpeas (white),+233267079206,Upper East
Wayne,Peters,Millet,+233247724185,Greater Acccra
Brenna,Kane,Rice (local),+233212482347,Volta
