name,surname_name,crop_to_purchase,phone,region
Justin,Jefferson,Rice (local),233595214766,Upper East
Reagan,Savage,Tomatoes (navrongo),233576708717,Western
Amela,Wade,Rice (paddy),233573683034,Northern
Tashya,Rosales,Maize,+233230969864,Upper East
Roanna,Trevino,Yam,+233256665463,Upper East
Simon,Roberson,Tomatoes (local),+233281824178,Greater Acccra
Signe,Scott,Soybeans,233505106868,Central
Hermione,Shaw,Yam,233579489362,Ashanti
Daquan,Horn,Soybeans,+233252179425,Upper East
Cain,Stark,Cassava,+233277389486,Brong Ahafo
Buckminster,Pitts,Eggplants,233566562717,Volta
Mona,Castaneda,Soybeans,233572868073,Northern
Ariel,Mcconnell,Peppers (fresh),233540454454,Upper West
Keiko,Lyons,Tomatoes (local),+233278255536,Greater Acccra
Charity,Parker,Tomatoes (navrongo),+233256820852,Upper East
Lev,Pierce,Tomatoes (local),233542846326,Central
Zeph,Greene,Cowpeas,+233234826036,Greater Acccra
Ori,Vaughan,Rice (local),+233281436788,Northern
Melyssa,Mckee,Millet,+233201537341,Northern
Daryl,Duran,Maize(yellow),233561168728,Eastern
Charity,Gomez,Onions,+233274056363,Ashanti
Deacon,Mcmillan,Tomatoes (local),233519118495,Western
Sonya,Haley,Maize(yellow),233575824915,Northern
Patricia,Nielsen,Yam,+233273716280,Brong Ahafo
Amy,Stuart,Cassava,233567174352,Ashanti
Morgan,Hyde,Peppers (dried),+233258186832,Northern
Ivan,Dean,Rice (paddy),233578567428,Western
Kibo,Love,Cowpeas (white),+233255035988,Northern
Micah,Lewis,Yam (puna),233561439356,Eastern
Theodore,Salinas,Tomatoes (navrongo),+233271602478,Ashanti
Jesse,Ramsey,Cowpeas,233554450266,Greater Acccra
Bradley,Diaz,Tomatoes (local),+233273374215,Ashanti
Demetrius,Padilla,Eggplants,233589741686,Central
Kenyon,O'connor,Tomatoes (local),+233206056294,Greater Acccra
Mallory,Booker,Millet,+233274242378,Eastern
Brynne,Rice,Rice (paddy),233577735822,Northern
Gail,Carlson,Cassava,+233233753313,Greater Acccra
Ivor,Dominguez,Yam,+233247847631,Upper West
Quinlan,Nunez,Rice (local),233587484832,Upper West
Noble,Kaufman,Sorghum,233582851816,Greater Acccra
Lunea,Rollins,Maize(yellow),+233289434861,Ashanti
Charde,Hurley,Eggplants,+233266424994,Greater Acccra
Dora,Barrera,Eggplants,233576717988,Eastern
William,Simmons,Cassava,233534417570,Eastern
Ulric,Oliver,Peppers (fresh),+233284106217,Upper East
Kyle,Bernard,Soybeans,+233246531451,Central
Britanney,Hess,Yam (puna),233574623621,Greater Acccra
Rylee,Riley,Cassava,+233261945732,Northern
Kirk,Sheppard,Maize(yellow),233578851799,Western
Uriel,York,Onions,+233223855758,Central
Venus,Perry,Soybeans,233582553442,Volta
Melissa,Parks,Rice (local),+233225046919,Upper East
Evan,Livingston,Cowpeas,+233244117571,Volta
Brynne,Hicks,Onions,233590547725,Brong Ahafo
Mallory,Shepherd,Peppers (dried),+233208556335,Northern
Micah,Kelley,Rice (paddy),233597472122,Eastern
Gavin,Ewing,Peppers (fresh),233551147128,Brong Ahafo
Kirby,Raymond,Tomatoes (local),+233294847026,Western
Alec,Rasmussen,Millet,+233255351236,Ashanti
Ryan,Gray,Cowpeas,233586743982,Central
Xandra,Lott,Peppers (dried),+233233173428,Upper West
Jerome,Elliott,Soybeans,+233242364734,Northern
Laith,Sosa,Soybeans,+233267077238,Upper East
Mari,Merrill,Tomatoes (navrongo),233528701265,Volta
Nigel,Kirby,Soybeans,233569537183,Volta
Hiroko,Wilder,Rice (local),+233247736936,Greater Acccra
James,Rivers,Cowpeas,+233237934575,Ashanti
Quentin,Patrick,Yam (puna),233544018310,Northern
Barbara,Rosales,Onions,233517822929,Upper West
Burke,Odom,Tomatoes (local),+233251111791,Eastern
Stephen,Gutierrez,Onions,+233240956598,Northern
Giacomo,Alford,Cowpeas (white),233555436175,Volta
Tashya,Patel,Cowpeas,233518136415,Volta
Eric,Key,Peppers (fresh),233574536811,Brong Ahafo
Brennan,Bradley,Peppers (dried),233558875182,Eastern
MacKensie,Crane,Onions,233556957268,Greater Acccra
