date,year,month,day,city,latitude,longitude,cedi_price/(KG)
2019-08-15,2019,8,15,Koforidua,6.08,-0.25,0.31
2019-09-15,2019,9,15,Koforidua,6.08,-0.25,0.31
2019-10-15,2019,10,15,Koforidua,6.08,-0.25,0.31
2019-11-15,2019,11,15,Koforidua,6.08,-0.25,0.31
2019-12-15,2019,12,15,Koforidua,6.08,-0.25,0.31
2020-01-15,2020,1,15,Koforidua,6.08,-0.25,0.31
2020-02-15,2020,2,15,Koforidua,6.08,-0.25,9.3
2020-03-15,2020,3,15,Koforidua,6.08,-0.25,0.31
2020-04-15,2020,4,15,Koforidua,6.08,-0.25,20.83
2020-04-15,2020,4,15,Koforidua,6.08,-0.25,27.27
2020-05-15,2020,5,15,Koforidua,6.08,-0.25,20.83
2020-05-15,2020,5,15,Koforidua,6.08,-0.25,18.1
2020-06-15,2020,6,15,Koforidua,6.08,-0.25,5.26
2020-07-15,2020,7,15,Koforidua,6.08,-0.25,9.3
2020-08-15,2020,8,15,Koforidua,6.08,-0.25,20.83
2020-08-15,2020,8,15,Koforidua,6.08,-0.25,10.0
2020-09-15,2020,9,15,Koforidua,6.08,-0.25,20.83
2020-09-15,2020,9,15,Koforidua,6.08,-0.25,10.0
2020-10-15,2020,10,15,Koforidua,6.08,-0.25,3.78
2020-11-15,2020,11,15,Koforidua,6.08,-0.25,4.85
2020-12-15,2020,12,15,Koforidua,6.08,-0.25,5.0
2021-01-15,2021,1,15,Koforidua,6.08,-0.25,2.85
2021-02-15,2021,2,15,Koforidua,6.08,-0.25,20.83
2021-02-15,2021,2,15,Koforidua,6.08,-0.25,1.4
2021-03-15,2021,3,15,Koforidua,6.08,-0.25,1.4
2021-04-15,2021,4,15,Koforidua,6.08,-0.25,1.4
2021-05-15,2021,5,15,Koforidua,6.08,-0.25,1.4
2021-06-15,2021,6,15,Koforidua,6.08,-0.25,4.66
2023-02-15,2023,2,15,Koforidua,6.08,-0.25,28.28
2023-02-15,2023,2,15,Koforidua,6.08,-0.25,16.3
2023-04-15,2023,4,15,Koforidua,6.08,-0.25,36.93
2023-04-15,2023,4,15,Koforidua,6.08,-0.25,3.28
2023-05-15,2023,5,15,Koforidua,6.08,-0.25,6.56
2023-06-15,2023,6,15,Koforidua,6.08,-0.25,6.56
2023-07-15,2023,7,15,Koforidua,6.08,-0.25,14.11
2023-07-15,2023,7,15,Koforidua,6.08,-0.25,3.24
