date,year,month,day,city,latitude,longitude,cedi_price,cedi_price/(KG)
2019-08-15,2019,8,15,Ho,6.6,0.47,2.0,2.0
2019-09-15,2019,9,15,Ho,6.6,0.47,2.0,2.0
2019-09-15,2019,9,15,Hohoe,7.15,0.47,22.12,1.38
2019-09-15,2019,9,15,Hohoe,7.15,0.47,1.14,1.14
2019-11-15,2019,11,15,Ho,6.6,0.47,2.0,2.0
2019-11-15,2019,11,15,Hohoe,7.15,0.47,40.0,2.5
2019-11-15,2019,11,15,Hohoe,7.15,0.47,1.36,1.36
2019-12-15,2019,12,15,Ho,6.6,0.47,2.0,2.0
2019-12-15,2019,12,15,Hohoe,7.15,0.47,40.0,2.5
2019-12-15,2019,12,15,Hohoe,7.15,0.47,1.36,1.36
2020-01-15,2020,1,15,Ho,6.6,0.47,2.68,2.68
2020-02-15,2020,2,15,Ho,6.6,0.47,5.33,5.33
2020-04-15,2020,4,15,Ho,6.6,0.47,14.85,14.85
2020-04-15,2020,4,15,Hohoe,7.15,0.47,8.1,8.1
2020-05-15,2020,5,15,Ho,6.6,0.47,10.76,10.76
2020-05-15,2020,5,15,Hohoe,7.15,0.47,6.02,6.02
2020-07-15,2020,7,15,Ho,6.6,0.47,5.33,5.33
2020-07-15,2020,7,15,Hohoe,7.15,0.47,3.0,3.0
2020-08-15,2020,8,15,Ho,6.6,0.47,6.43,6.43
2020-08-15,2020,8,15,Hohoe,7.15,0.47,2.99,2.99
2020-09-15,2020,9,15,Ho,6.6,0.47,7.86,7.86
2020-09-15,2020,9,15,Hohoe,7.15,0.47,2.99,2.99
2020-10-15,2020,10,15,Ho,6.6,0.47,4.9,4.9
2020-11-15,2020,11,15,Ho,6.6,0.47,4.9,4.9
2021-01-15,2021,1,15,Ho,6.6,0.47,1.14,1.14
2021-01-15,2021,1,15,Hohoe,7.15,0.47,1.14,1.14
2021-02-15,2021,2,15,Ho,6.6,0.47,7.38,7.38
2021-02-15,2021,2,15,Hohoe,7.15,0.47,7.33,7.33
2021-03-15,2021,3,15,Ho,6.6,0.47,6.29,6.29
2021-04-15,2021,4,15,Ho,6.6,0.47,6.33,6.33
2021-05-15,2021,5,15,Ho,6.6,0.47,4.07,4.07
2021-06-15,2021,6,15,Ho,6.6,0.47,1.14,1.14
2021-07-15,2021,7,15,Ho,6.6,0.47,5.58,5.58
2021-07-15,2021,7,15,Hohoe,7.15,0.47,4.15,4.15
2021-08-15,2021,8,15,Ho,6.6,0.47,5.83,5.83
2021-09-15,2021,9,15,Ho,6.6,0.47,5.44,5.44
2021-10-15,2021,10,15,Ho,6.6,0.47,5.58,5.58
2021-11-15,2021,11,15,Ho,6.6,0.47,5.69,5.69
2021-12-15,2021,12,15,Ho,6.6,0.47,5.72,5.72
2022-01-15,2022,1,15,Ho,6.6,0.47,5.86,5.86
2022-03-15,2022,3,15,Ho,6.6,0.47,5.72,5.72
2022-04-15,2022,4,15,Ho,6.6,0.47,5.97,5.97
2022-04-15,2022,4,15,Hohoe,7.15,0.47,200.0,12.5
2022-06-15,2022,6,15,Ho,6.6,0.47,5.83,5.83
2022-07-15,2022,7,15,Ho,6.6,0.47,3.98,3.98
2022-07-15,2022,7,15,Hohoe,7.15,0.47,232.31,14.52
2022-07-15,2022,7,15,Hohoe,7.15,0.47,14.73,14.73
2022-08-15,2022,8,15,Ho,6.6,0.47,4.1,4.1
2022-08-15,2022,8,15,Hohoe,7.15,0.47,232.31,14.52
2022-08-15,2022,8,15,Hohoe,7.15,0.47,14.73,14.73
2022-09-15,2022,9,15,Ho,6.6,0.47,5.58,5.58
2022-09-15,2022,9,15,Hohoe,7.15,0.47,232.31,14.52
2022-09-15,2022,9,15,Hohoe,7.15,0.47,14.73,14.73
2022-10-15,2022,10,15,Ho,6.6,0.47,4.04,4.04
2022-10-15,2022,10,15,Hohoe,7.15,0.47,232.31,14.52
2022-10-15,2022,10,15,Hohoe,7.15,0.47,4.27,4.27
2022-10-15,2022,10,15,Nkwanta,8.26,0.52,3.07,3.07
2022-11-15,2022,11,15,Hohoe,7.15,0.47,232.31,14.52
2022-11-15,2022,11,15,Hohoe,7.15,0.47,14.73,14.73
2022-12-15,2022,12,15,Hohoe,7.15,0.47,232.31,14.52
2022-12-15,2022,12,15,Hohoe,7.15,0.47,14.73,14.73
2023-01-15,2023,1,15,Hohoe,7.15,0.47,232.31,14.52
2023-01-15,2023,1,15,Hohoe,7.15,0.47,14.73,14.73
2023-02-15,2023,2,15,Ho,6.6,0.47,4.44,4.44
2023-02-15,2023,2,15,Hohoe,7.15,0.47,480.02,30.0
2023-02-15,2023,2,15,Hohoe,7.15,0.47,12.69,12.69
2023-02-15,2023,2,15,Nkwanta,8.26,0.52,7.38,7.38
2023-03-15,2023,3,15,Hohoe,7.15,0.47,242.31,15.14
2023-03-15,2023,3,15,Hohoe,7.15,0.47,20.0,20.0
2023-04-15,2023,4,15,Ho,6.6,0.47,4.84,4.84
2023-04-15,2023,4,15,Hohoe,7.15,0.47,375.0,23.44
2023-04-15,2023,4,15,Hohoe,7.15,0.47,10.64,10.64
2023-04-15,2023,4,15,Nkwanta,8.26,0.52,4.88,4.88
2023-05-15,2023,5,15,Ho,6.6,0.47,4.7,4.7
2023-05-15,2023,5,15,Hohoe,7.15,0.47,640.81,40.05
2023-05-15,2023,5,15,Hohoe,7.15,0.47,10.64,10.64
2023-05-15,2023,5,15,Nkwanta,8.26,0.52,5.33,5.33
2023-06-15,2023,6,15,Ho,6.6,0.47,4.66,4.66
2023-06-15,2023,6,15,Hohoe,7.15,0.47,640.81,40.05
2023-06-15,2023,6,15,Hohoe,7.15,0.47,10.64,10.64
2023-06-15,2023,6,15,Nkwanta,8.26,0.52,6.39,6.39
2023-07-15,2023,7,15,Ho,6.6,0.47,4.41,4.41
2023-07-15,2023,7,15,Hohoe,7.15,0.47,228.46,14.28
2023-07-15,2023,7,15,Hohoe,7.15,0.47,10.64,10.64
2023-07-15,2023,7,15,Nkwanta,8.26,0.52,7.34,7.34
