date,year,month,day,city,latitude,longitude,cedi_price,cedi_price/(KG)
2019-08-15,2019,8,15,Tamale,9.4,-0.83,3.67,3.67
2019-09-15,2019,9,15,Tamale,9.4,-0.83,3.67,3.67
2019-10-15,2019,10,15,Tamale,9.4,-0.83,3.67,3.67
2019-11-15,2019,11,15,Tamale,9.4,-0.83,3.67,3.67
2019-12-15,2019,12,15,Tamale,9.4,-0.83,3.67,3.67
2020-01-15,2020,1,15,Tamale,9.4,-0.83,3.67,3.67
2020-02-15,2020,2,15,Tamale,9.4,-0.83,610.4,30.52
2020-02-15,2020,2,15,Tamale,9.4,-0.83,5.92,5.92
2020-02-15,2020,2,15,Yendi,9.45,-0.01,286.94,14.35
2020-02-15,2020,2,15,Yendi,9.45,-0.01,3.03,3.03
2020-03-15,2020,3,15,Tamale,9.4,-0.83,3.67,3.67
2020-04-15,2020,4,15,Tamale,9.4,-0.83,5.36,5.36
2020-05-15,2020,5,15,Tamale,9.4,-0.83,523.2,26.16
2020-05-15,2020,5,15,Tamale,9.4,-0.83,5.2,5.2
2020-05-15,2020,5,15,Yendi,9.45,-0.01,285.93,14.3
2020-05-15,2020,5,15,Yendi,9.45,-0.01,2.99,2.99
2020-06-15,2020,6,15,Tamale,9.4,-0.83,417.04,20.85
2020-06-15,2020,6,15,Yendi,9.45,-0.01,289.11,14.46
2020-07-15,2020,7,15,Tamale,9.4,-0.83,610.4,30.52
2020-07-15,2020,7,15,Tamale,9.4,-0.83,5.92,5.92
2020-07-15,2020,7,15,Yendi,9.45,-0.01,286.94,14.35
2020-07-15,2020,7,15,Yendi,9.45,-0.01,3.73,3.73
2020-08-15,2020,8,15,Tamale,9.4,-0.83,576.49,28.82
2020-08-15,2020,8,15,Tamale,9.4,-0.83,5.53,5.53
2020-08-15,2020,8,15,Yendi,9.45,-0.01,317.02,15.85
2020-08-15,2020,8,15,Yendi,9.45,-0.01,3.36,3.36
2020-09-15,2020,9,15,Tamale,9.4,-0.83,566.8,28.34
2020-09-15,2020,9,15,Tamale,9.4,-0.83,5.53,5.53
2020-09-15,2020,9,15,Yendi,9.45,-0.01,368.42,18.42
2020-09-15,2020,9,15,Yendi,9.45,-0.01,3.76,3.76
2020-10-15,2020,10,15,Tamale,9.4,-0.83,3.17,3.17
2020-11-15,2020,11,15,Tamale,9.4,-0.83,3.17,3.17
2020-12-15,2020,12,15,Tamale,9.4,-0.83,3.17,3.17
2021-01-15,2021,1,15,Tamale,9.4,-0.83,117.65,5.88
2021-01-15,2021,1,15,Tamale,9.4,-0.83,2.92,2.92
2021-02-15,2021,2,15,Tamale,9.4,-0.83,102.86,5.14
2021-02-15,2021,2,15,Tamale,9.4,-0.83,4.52,4.52
2021-03-15,2021,3,15,Tamale,9.4,-0.83,4.52,4.52
2021-04-15,2021,4,15,Tamale,9.4,-0.83,6.59,6.59
2021-05-15,2021,5,15,Tamale,9.4,-0.83,6.59,6.59
2021-06-15,2021,6,15,Tamale,9.4,-0.83,3.17,3.17
2021-07-15,2021,7,15,Tamale,9.4,-0.83,7.06,7.06
2021-08-15,2021,8,15,Tamale,9.4,-0.83,7.06,7.06
2021-09-15,2021,9,15,Tamale,9.4,-0.83,7.06,7.06
2021-10-15,2021,10,15,Tamale,9.4,-0.83,7.06,7.06
2021-11-15,2021,11,15,Tamale,9.4,-0.83,7.06,7.06
2021-12-15,2021,12,15,Tamale,9.4,-0.83,7.06,7.06
2022-01-15,2022,1,15,Tamale,9.4,-0.83,7.06,7.06
2022-03-15,2022,3,15,Tamale,9.4,-0.83,5.56,5.56
2022-04-15,2022,4,15,Tamale,9.4,-0.83,5.56,5.56
2022-05-15,2022,5,15,Tamale,9.4,-0.83,5.56,5.56
2022-06-15,2022,6,15,Tamale,9.4,-0.83,5.56,5.56
2022-07-15,2022,7,15,Tamale,9.4,-0.83,5.56,5.56
2022-08-15,2022,8,15,Tamale,9.4,-0.83,5.56,5.56
2022-10-15,2022,10,15,Tamale,9.4,-0.83,153.03,7.65
2022-10-15,2022,10,15,Tamale,9.4,-0.83,7.54,7.54
2022-11-15,2022,11,15,Tamale,9.4,-0.83,177.79,8.89
2022-11-15,2022,11,15,Tamale,9.4,-0.83,6.98,6.98
2023-01-15,2023,1,15,Tamale,9.4,-0.83,289.22,14.46
2023-01-15,2023,1,15,Tamale,9.4,-0.83,6.98,6.98
2023-02-15,2023,2,15,Tamale,9.4,-0.83,566.14,28.31
2023-02-15,2023,2,15,Tamale,9.4,-0.83,7.94,7.94
2023-03-15,2023,3,15,Tamale,9.4,-0.83,289.22,14.46
2023-03-15,2023,3,15,Tamale,9.4,-0.83,11.11,11.11
2023-04-15,2023,4,15,Tamale,9.4,-0.83,1388.89,69.44
2023-05-15,2023,5,15,Tamale,9.4,-0.83,1388.89,69.44
2023-07-15,2023,7,15,Tamale,9.4,-0.83,413.03,20.65
