date,year,month,day,city,market_sold_at,market_id,latitude,longitude,unit(KG),price_flag,price_type,cedi_price
2006-01-15,2006,1,15,Tamale,TAMALE NORTH SUB METRO,220,9.4,-0.83,50 ,actual,Wholesale,20.0
2006-02-15,2006,2,15,Tamale,TAMALE NORTH SUB METRO,220,9.4,-0.83,50 ,actual,Wholesale,19.0
2006-03-15,2006,3,15,Tamale,TAMALE NORTH SUB METRO,220,9.4,-0.83,50 ,actual,Wholesale,22.67
2006-04-15,2006,4,15,Tamale,TAMALE NORTH SUB METRO,220,9.4,-0.83,50 ,actual,Wholesale,32.0
2006-05-15,2006,5,15,Tamale,TAMALE NORTH SUB METRO,220,9.4,-0.83,50 ,actual,Wholesale,22.0
2006-07-15,2006,7,15,Tamale,TAMALE NORTH SUB METRO,220,9.4,-0.83,50 ,actual,Wholesale,21.0
2006-09-15,2006,9,15,Tamale,TAMALE NORTH SUB METRO,220,9.4,-0.83,50 ,actual,Wholesale,20.0
2006-10-15,2006,10,15,Tamale,TAMALE NORTH SUB METRO,220,9.4,-0.83,50 ,actual,Wholesale,20.0
2006-11-15,2006,11,15,Tamale,TAMALE NORTH SUB METRO,220,9.4,-0.83,50 ,actual,Wholesale,18.5
2006-12-15,2006,12,15,Tamale,TAMALE NORTH SUB METRO,220,9.4,-0.83,50 ,actual,Wholesale,20.0
2007-01-15,2007,1,15,Tamale,TAMALE NORTH SUB METRO,220,9.4,-0.83,50 ,actual,Wholesale,20.0
2007-02-15,2007,2,15,Tamale,TAMALE NORTH SUB METRO,220,9.4,-0.83,50 ,actual,Wholesale,20.0
2007-05-15,2007,5,15,Tamale,TAMALE NORTH SUB METRO,220,9.4,-0.83,50 ,actual,Wholesale,25.0
2007-06-15,2007,6,15,Tamale,TAMALE NORTH SUB METRO,220,9.4,-0.83,50 ,actual,Wholesale,20.0
2007-07-15,2007,7,15,Tamale,TAMALE NORTH SUB METRO,220,9.4,-0.83,50 ,actual,Wholesale,24.0
2007-08-15,2007,8,15,Tamale,TAMALE NORTH SUB METRO,220,9.4,-0.83,50 ,actual,Wholesale,23.0
2007-09-15,2007,9,15,Tamale,TAMALE NORTH SUB METRO,220,9.4,-0.83,50 ,actual,Wholesale,20.0
2007-10-15,2007,10,15,Tamale,TAMALE NORTH SUB METRO,220,9.4,-0.83,50 ,actual,Wholesale,22.5
2007-11-15,2007,11,15,Tamale,TAMALE NORTH SUB METRO,220,9.4,-0.83,50 ,actual,Wholesale,23.67
2007-12-15,2007,12,15,Tamale,TAMALE NORTH SUB METRO,220,9.4,-0.83,50 ,actual,Wholesale,23.25
2008-01-15,2008,1,15,Tamale,TAMALE NORTH SUB METRO,220,9.4,-0.83,50 ,actual,Wholesale,20.25
