date,year,month,day,city,latitude,longitude,cedi_price/(KG)
2019-08-15,2019,8,15,Sekondi/Takoradi,4.93,-1.7,2.65
2019-08-15,2019,8,15,Sekondi/Takoradi,4.93,-1.7,3.0
2019-09-15,2019,9,15,Sekondi/Takoradi,4.93,-1.7,2.27
2019-09-15,2019,9,15,Sekondi/Takoradi,4.93,-1.7,2.34
2019-10-15,2019,10,15,Sekondi/Takoradi,4.93,-1.7,2.64
2019-10-15,2019,10,15,Sekondi/Takoradi,4.93,-1.7,3.0
2019-11-15,2019,11,15,Sekondi/Takoradi,4.93,-1.7,2.27
2019-11-15,2019,11,15,Sekondi/Takoradi,4.93,-1.7,2.5
2019-12-15,2019,12,15,Sekondi/Takoradi,4.93,-1.7,1.98
2019-12-15,2019,12,15,Sekondi/Takoradi,4.93,-1.7,2.54
2020-01-15,2020,1,15,Sekondi/Takoradi,4.93,-1.7,2.46
2020-01-15,2020,1,15,Sekondi/Takoradi,4.93,-1.7,2.63
2020-02-15,2020,2,15,Sekondi/Takoradi,4.93,-1.7,2.75
2020-02-15,2020,2,15,Sekondi/Takoradi,4.93,-1.7,3.0
2020-03-15,2020,3,15,Sekondi/Takoradi,4.93,-1.7,2.61
2020-03-15,2020,3,15,Sekondi/Takoradi,4.93,-1.7,2.72
2020-04-15,2020,4,15,Sekondi/Takoradi,4.93,-1.7,2.17
2020-04-15,2020,4,15,Sekondi/Takoradi,4.93,-1.7,2.57
2020-05-15,2020,5,15,Sekondi/Takoradi,4.93,-1.7,2.63
2020-05-15,2020,5,15,Sekondi/Takoradi,4.93,-1.7,2.64
2020-06-15,2020,6,15,Sekondi/Takoradi,4.93,-1.7,2.45
2020-07-15,2020,7,15,Sekondi/Takoradi,4.93,-1.7,2.75
2020-07-15,2020,7,15,Sekondi/Takoradi,4.93,-1.7,2.9
2020-08-15,2020,8,15,Sekondi/Takoradi,4.93,-1.7,2.62
2020-08-15,2020,8,15,Sekondi/Takoradi,4.93,-1.7,2.67
2020-09-15,2020,9,15,Sekondi/Takoradi,4.93,-1.7,2.34
2020-09-15,2020,9,15,Sekondi/Takoradi,4.93,-1.7,2.65
2020-10-15,2020,10,15,Sekondi/Takoradi,4.93,-1.7,2.53
2020-10-15,2020,10,15,Sekondi/Takoradi,4.93,-1.7,2.56
2020-11-15,2020,11,15,Sekondi/Takoradi,4.93,-1.7,2.53
2020-11-15,2020,11,15,Sekondi/Takoradi,4.93,-1.7,2.56
2020-12-15,2020,12,15,Sekondi/Takoradi,4.93,-1.7,2.7
2020-12-15,2020,12,15,Sekondi/Takoradi,4.93,-1.7,2.72
